predictor,p_value,is_null_info_meaningful,variance,is_variance_zero,null_proportion,is_null_proportion_high,gini_lower_bound,gini_upper_bound,has_monotonous_sense,monotonous_sense,action
edad,0.4374957979,False,133.81794608447308,False,0.004714016341923318,False,-0.1610787699097862,-0.0850296592077917,False,descending,drop
suma_saldo_vencido_open,0.668736183,False,1384622.2376773665,False,0.0069138906348208675,False,0.0516068904217818,0.099347912816547,False,ascending,drop
suma_saldo_actual_open,0.4374957979,False,7107636802.8599825,False,0.004714016341923318,False,-0.013402222271319,0.0674120543827092,False,descending,drop
razon_monto_apagar_saldo_actual_open,3.753e-05,True,101.55075799969666,False,0.05279698302954117,False,0.0315271183313397,0.1119707749217719,False,ascending,take_null_indicator
razon_monto_apagar_limite_credito_open,0.5881906341,False,76264.81497315726,False,0.00974230043997486,False,0.1848031206498644,0.2623639971772664,True,ascending,keep
razon_monto_apagar_saldo_vencido_open,1.9e-09,True,408178.15086387185,False,0.8614079195474544,True,-0.1505466798843889,0.0781491583112891,False,descending,drop
razon_maximo_saldo_maxima_mora_maximo_credito_masalto_open,2.16368e-05,True,0.018929446636152224,False,0.21244500314267756,False,0.1161980123323268,0.204691764174315,True,ascending,keep
razon_saldo_vencido_saldo_actual_open,2.51648e-05,True,0.008091266348362202,False,0.05248271527341295,False,0.0487139223157101,0.0968470414177565,False,ascending,take_null_indicator
suma_ponderada_pagos_12m_open,0.4374957979,False,0.07685624174138941,False,0.004714016341923318,False,0.2076075253855681,0.2847587551464653,True,ascending,keep
suma_ponderada_pagos_18m_open,0.4374957979,False,0.070322321276781,False,0.004714016341923318,False,0.2286659337745853,0.3018956641211113,True,ascending,keep
suma_ponderada_pagos_24m_open,0.4374957979,False,0.06855145426509156,False,0.004714016341923318,False,0.2418960891806909,0.3168753565863545,True,ascending,keep
r_sumapd_sumcl_open,1.0,False,76015.88750943977,False,0.008799497171590195,False,0.0521326444176556,0.0992123288557799,False,ascending,drop
r_sumcb_sumcl_open,0.8266955778,False,80908.59403122349,False,0.006599622878692646,False,0.1798341076841483,0.2569552571598181,True,ascending,keep
r_sumhhda_sumhc_open,2.16368e-05,True,0.009616318713804122,False,0.21244500314267756,False,0.1147878339102305,0.2045497218802819,True,ascending,keep
utilizacion_maximo_limite_open,0.033559518,True,32711.886494968014,False,0.013827781269641735,False,0.099783738573334,0.1749329636558447,False,ascending,take_null_indicator
utilizacion_open,0.8266955778,False,80908.59403122349,False,0.006599622878692646,False,0.1798341076841483,0.2569552571598181,True,ascending,keep
max_antiguedad_cuenta_meses_open,0.4374957979,False,6166.159288099333,False,0.004714016341923318,False,-0.2034028928364093,-0.1272362156714137,True,descending,keep
min_antiguedad_cuenta_meses_open,0.4374957979,False,343.92582007121695,False,0.004714016341923318,False,-0.2234545396260354,-0.1470751144112084,True,descending,keep
promedio_antiguedad_cuenta_meses_open,0.4374957979,False,1115.851462500074,False,0.004714016341923318,False,-0.2686540367635293,-0.1944148253748505,True,descending,keep
max_mop_tc_ult_12m_open,0.4374957979,False,2.4010022418094374,False,0.004714016341923318,False,0.0670101253207857,0.1344978531594861,False,ascending,drop
max_mop_tc_ult_18m_open,0.4374957979,False,2.5456614833841016,False,0.004714016341923318,False,0.0646166053720317,0.1323996805684622,False,ascending,drop
max_mop_tc_ult_24m_open,0.4374957979,False,2.668752160476774,False,0.004714016341923318,False,0.0654370105610958,0.134828606497084,False,ascending,drop
num_ctas_antig_12m_open,0.4374957979,False,5.2911033137250625,False,0.004714016341923318,False,0.1673875235447979,0.2421253273459213,True,ascending,keep
num_ctas_antig_18m_open,0.4374957979,False,7.381439517321813,False,0.004714016341923318,False,0.1541307236287122,0.2327694981178932,True,ascending,keep
num_ctas_antig_24m_open,0.4374957979,False,9.578389228304125,False,0.004714016341923318,False,0.1476131630617022,0.2267425406433815,True,ascending,keep
suma_saldo_vencido_ban_all,0.4415340473,False,3737111.8081660345,False,0.026712759270898806,False,0.0229697492746681,0.0577477051435108,False,ascending,drop
suma_saldo_actual_ban_all,0.5759645359,False,552987561.9630938,False,0.016341923318667503,False,0.0329784324936561,0.1101887701754636,False,ascending,drop
razon_monto_apagar_saldo_actual_ban_all,0.0005211394,True,225.1774078900583,False,0.17881835323695788,False,0.0597543937751194,0.1450699470086315,False,ascending,take_null_indicator
razon_monto_apagar_limite_credito_ban_all,0.5781272974,False,0.00558126213151504,False,0.026084223758642364,False,0.2161627790473144,0.2912067616915416,True,ascending,keep
razon_monto_apagar_saldo_vencido_ban_all,1.11724e-05,True,51391.87338977293,False,0.9305468258956631,True,0.0215549837619876,0.341987233478512,False,ascending,drop
razon_maximo_saldo_maxima_mora_maximo_credito_masalto_ban_all,0.001543764,True,0.047268785958657,False,0.41483343808925205,False,0.0837225753452649,0.1779171339762269,False,ascending,take_null_indicator
razon_saldo_vencido_saldo_actual_ban_all,0.0006565994,True,0.31512028954995125,False,0.18101822752985544,False,0.0186478557171266,0.0570931612161204,False,ascending,take_null_indicator
suma_ponderada_pagos_12m_ban_all,0.5759645359,False,0.29575974982084785,False,0.016341923318667503,False,0.078037166217772,0.1578415239284929,False,ascending,drop
suma_ponderada_pagos_18m_ban_all,0.5759645359,False,0.28120398920800116,False,0.016341923318667503,False,0.0945306910867819,0.1749633321127348,False,ascending,drop
suma_ponderada_pagos_24m_ban_all,0.5759645359,False,0.27700518590765155,False,0.016341923318667503,False,0.1226555404141267,0.2034636572445711,True,ascending,keep
r_sumapd_sumcl_ban_all,0.4415340473,False,0.009587838362472605,False,0.026712759270898806,False,0.0231784794351454,0.0580543023024116,False,ascending,drop
r_sumcb_sumcl_ban_all,0.5759645359,False,0.11487794382806436,False,0.016341923318667503,False,0.2999453373151807,0.3700073486740901,True,ascending,keep
r_sumhhda_sumhc_ban_all,0.001543764,True,0.019453745329859985,False,0.41483343808925205,False,0.0911627898385559,0.1850223631471763,False,ascending,take_null_indicator
utilizacion_maximo_limite_ban_all,0.3543463634,False,0.3634888051880583,False,0.06631049654305468,False,0.2439710632851034,0.3212507724167552,True,ascending,keep
utilizacion_ban_all,0.5759645359,False,0.11487794382806436,False,0.016341923318667503,False,0.2999453373151807,0.3700073486740901,True,ascending,keep
max_antiguedad_cuenta_meses_ban_all,0.5759645359,False,4725.55641396346,False,0.016341923318667503,False,-0.2876546225371402,-0.2126162802704067,True,descending,keep
min_antiguedad_cuenta_meses_ban_all,0.5759645359,False,716.7797555367771,False,0.016341923318667503,False,-0.152644032614175,-0.0733264902153794,False,descending,drop
promedio_antiguedad_cuenta_meses_ban_all,0.5759645359,False,1479.3526753291837,False,0.016341923318667503,False,-0.2906714684649156,-0.2133845785172599,True,descending,keep
max_mop_tc_ult_12m_ban_all,0.5759645359,False,1.2254549575903866,False,0.016341923318667503,False,0.0361023151006503,0.0997371868289756,False,ascending,drop
max_mop_tc_ult_18m_ban_all,0.5759645359,False,1.5211772381830486,False,0.016341923318667503,False,0.0488853165499335,0.1125843299084535,False,ascending,drop
max_mop_tc_ult_24m_ban_all,0.5759645359,False,1.7283886593211808,False,0.016341923318667503,False,0.0453862238561292,0.1108208391973176,False,ascending,drop
num_ctas_antig_12m_ban_all,0.5759645359,False,2.71577952106288,False,0.016341923318667503,False,0.0411580585995579,0.117975136856051,False,ascending,drop
num_ctas_antig_18m_ban_all,0.5759645359,False,4.063544579870673,False,0.016341923318667503,False,0.0058948938420847,0.0870638603304625,False,ascending,drop
num_ctas_antig_24m_ban_all,0.5759645359,False,5.096054430520628,False,0.016341923318667503,False,0.0183655623555391,0.0987784440896213,False,ascending,drop
n_cons6meses_all,0.4374957979,False,28.377452970173106,False,0.004714016341923318,False,0.1669873196894035,0.2452270110623662,True,ascending,keep
n_cons9meses_all,0.4374957979,False,46.98354078232148,False,0.004714016341923318,False,0.1778666309343291,0.2583245740228418,True,ascending,keep
n_cons12meses_all,0.4374957979,False,68.04248447299128,False,0.004714016341923318,False,0.1800661192004797,0.2577205557659877,True,ascending,keep
